id,bim360_account_id,name,start_date,end_date,type,value,currency,status,job_number,address_line1,address_line2,city,state_or_province,postal_code,country,timezone,construction_type,contract_type,business_unit_id,last_sign_in,created_at,acc_project,latitude,longitude,updated_at,status_reason,total_member_size,total_company_size,classification
9ffa6298-42f0-4287-b593-dd716ab0fe84,956c9a49-bc6e-4459-b873-d9ecea0600cb,PeachTree,,,Parking Structure / Garage,,USD,archived,"","","","","","",US,America/New_York,,,,2019-11-25 21:14:29.876,2019-11-25 21:08:38.395208,f,39.390897,-99.066067,2021-09-17 22:00:09.266,,1,1,production
f1594302-5834-4a27-ac73-227b859ad755,956c9a49-bc6e-4459-b873-d9ecea0600cb,20429 - nCino Headquarters Parking Deck,,,Parking Structure / Garage,0,USD,archived,"",6770 Parker Farm Dr #200,"",Wilmington,NC,28405,US,America/New_York,,,,2022-09-19 17:56:55.263,2020-12-22 13:15:02.44795,f,34.234382,-77.83317,2025-09-08 10:14:36.317895,,11,2,production
425e47dd-f2ac-4e9e-b2fa-5f66692da43e,956c9a49-bc6e-4459-b873-d9ecea0600cb,00000 - Project Move Files,,,Demonstration Project,,USD,archived,"","","","","","",US,America/New_York,,,,2022-07-13 17:54:49.122,2022-07-13 17:33:16.921343,f,,,2023-02-02 21:15:42.270116,,1,1,sample
b3df172e-eab9-46d9-aae7-97cad2474f61,956c9a49-bc6e-4459-b873-d9ecea0600cb,ZZZ- Richmond Expansion,,,Institutional & Municipal,0,USD,archived,,,,,,,US,America/New_York,,,,,2025-09-12 13:36:45.025,t,,,2025-09-12 13:41:17.987,,19,4,production
8c0a2e9f-c3c6-4a3b-ad38-ebac2e643df9,956c9a49-bc6e-4459-b873-d9ecea0600cb,21217 - Cool Springs Galleria PD,,,Parking Structure / Garage,0,USD,active,21217,1800 Galleria Boulevard,,Franklin,TN,37067,US,America/New_York,,,25418194-3e5d-4a88-b0f9-f895da5e259d,,2026-02-02 15:58:59.494,t,35.956728,-86.813776,2026-02-02 15:59:45.013611,,265,9,production
24473544-30ef-4833-a18c-367e07a2c8b1,956c9a49-bc6e-4459-b873-d9ecea0600cb,TBD - PMG Largo,,,Parking Structure / Garage,0,USD,active,TBD,,,,,,,America/New_York,,,,,2023-11-08 13:34:05.342,t,,,2023-11-08 13:34:07.869,,3,3,production
7370b278-65b1-4913-99c2-07ae47a41b1f,956c9a49-bc6e-4459-b873-d9ecea0600cb,DEX HQ Tampa - ARCHIVED,,,Office Buildings,0,USD,archived,20952,,,,,,US,,,,,,2024-03-27 12:10:01.676,t,,,2025-03-20 15:36:38.094,,7,3,production
fa94a3ff-b3e5-4328-abac-f04b12762ef2,956c9a49-bc6e-4459-b873-d9ecea0600cb,UPGRADED TO 22 - Trident Regional Medical Center PD,,,Parking Structure / Garage,0,USD,archived,"",9330 Medical plaza Drive,"",North Charleston,SC,29406,US,America/New_York,,,,2022-04-08 18:08:46.998,2021-10-05 15:00:31.512822,f,32.976701,-80.072818,2025-09-08 10:17:17.272909,,4,2,production
a344d32e-3e68-465c-8335-dbd8db9fab3e,956c9a49-bc6e-4459-b873-d9ecea0600cb,20733 - Walton County Public Safety Complex,,,Institutional & Municipal,0,USD,active,20733,,,,,,US,,,,,,2024-04-18 15:55:01.891,t,,,2024-04-18 15:55:50.703,,18,3,production
feca6ae3-7926-475b-8e1d-529cffbe3f92,956c9a49-bc6e-4459-b873-d9ecea0600cb,20386 - Toufayan Bakery Plant City,,,Parking Structure / Garage,,USD,archived,"","","",Evans,GA,30809,US,America/New_York,,,,2022-09-19 17:50:08.007,2020-10-01 14:55:52.841168,f,33.54,-82.14,2025-09-08 10:18:28.012634,,8,2,production
13b11e9d-1fbc-45b5-97ad-9a9f68d8e47e,956c9a49-bc6e-4459-b873-d9ecea0600cb,Eric Lopez Folder,,,Training Project,0,USD,active,,,,,,,,America/New_York,,,,,2025-02-24 19:37:34.178,t,,,2025-02-24 19:37:36.157,,2,2,sample
54891c6e-5216-4709-9f10-0c55b1c65567,956c9a49-bc6e-4459-b873-d9ecea0600cb,20760 - BOA Gramercy Woods PG,,,Parking Decks,0,USD,archived,20760,,,,,,US,,,,,,2024-04-08 13:35:02.102,t,,,2025-09-08 14:26:47.762,,8,3,production
7eff05fb-55eb-4674-aa97-b5e130715c43,956c9a49-bc6e-4459-b873-d9ecea0600cb,2500 N Tampa St Garage ,,,Parking Structure / Garage,0,USD,active,TBD,,,,,,,America/New_York,,,,,2023-07-10 18:58:28.163,t,,,2023-07-10 18:58:30.76,,3,3,production
0777c505-c970-4943-b804-eafba16135b5,956c9a49-bc6e-4459-b873-d9ecea0600cb,20963 - moved to new template,,,Data Centers,0,USD,archived,"",,,,,,US,,,,,,2024-04-19 14:35:01.175,t,,,2024-08-14 13:40:49.864,,17,3,production
97d8a88b-2071-45c8-97f8-43266e2d78c4,956c9a49-bc6e-4459-b873-d9ecea0600cb,20781 - The Mark at Knoxville PD,2022-12-06 00:00:00,2023-06-05 00:00:00,Parking Structure / Garage,0,USD,active,20781,,,,,,US,America/New_York,,,,,2022-12-06 20:24:38.577,t,,,2023-02-21 02:32:14.680073,,27,4,production
c7fa0a39-11c7-4c24-92af-b3be3a4eac36,956c9a49-bc6e-4459-b873-d9ecea0600cb,ACC - Bridge Testing,,,Training Project,0,USD,archived,,,,,,,US,America/New_York,,,,,2022-04-13 14:10:12.166,t,,,2023-02-21 02:32:12.176,,2,1,sample
d78f8d29-bfd4-4c00-9ceb-4a7991a2d7f1,956c9a49-bc6e-4459-b873-d9ecea0600cb,21155 - Stadium of the Future (SOTF),,,Stadium/Arena,0,USD,active,21155,One Everbank Stadium Drive,,Jacksonville,FL,32202,US,America/New_York,,,,,2026-02-26 12:46:42.508,t,30.326472,-81.65535,2026-02-26 12:47:57.507524,,295,10,production
3a6f91c2-af53-43c5-a23a-cfe19a4df61c,956c9a49-bc6e-4459-b873-d9ecea0600cb,20805 - Tyndall AFB ZN5 - LRS Vehicle Maintenance,,,Institutional & Municipal,0,USD,active,20805,,,,,,US,,,,,,2024-04-04 14:20:01.816,t,,,2024-04-04 14:22:59.725,,7,3,production
0148e65b-0640-470a-a890-e45093adde5a,956c9a49-bc6e-4459-b873-d9ecea0600cb,Training and Video Content Template,,,Template Project,0,USD,active,,,,,,,US,,,,,,2025-12-16 18:10:45.559,t,,,2025-12-16 18:11:32.995,,1,1,template
1028046d-d726-49ce-a9aa-161f68647a4e,956c9a49-bc6e-4459-b873-d9ecea0600cb,20947 - Project Cricket PHII,,,Data Center,0,USD,archived,20947,,,,,,US,America/New_York,,,,,2024-05-24 17:29:39.445,t,,,2025-09-08 17:46:09.793,,24,3,production
56c39112-9c77-4b05-9674-02b62e424290,956c9a49-bc6e-4459-b873-d9ecea0600cb,20682 - Classic Center Arena,,,Stadium/Arena,0,USD,active,20682 ,,,,,,US,America/New_York,,,,,2023-09-26 18:55:15.042,t,,,2023-09-26 18:55:48.125,,20,4,production
a6527dd0-f1af-4f69-9a57-30d43f973b9e,956c9a49-bc6e-4459-b873-d9ecea0600cb,20717 - Tilford Yards Data Center - Phase I,2022-07-08 00:00:00,2023-01-01 00:00:00,Data Center,0,USD,active,20717,,,,,,US,America/New_York,,,,,2022-07-08 18:29:51.656,t,,,2023-10-11 17:41:15.811,,14,3,production
3e74a8b5-4240-4872-9a90-df9af08a9ade,956c9a49-bc6e-4459-b873-d9ecea0600cb,Research & Development,,,Demonstration Project,,USD,archived,"","","","","","",US,America/New_York,,,,2021-09-27 12:07:15.683,2020-08-24 20:26:57.743564,f,,,2023-02-06 19:26:51.62851,,2,1,sample
